OLS,KNN,DecisionTree,RandomForest,BayesianRidge
const,prev_year_access_to_exercise_opportunities,prev_year_adult_smoking,two_yrs_prior_pct_college,two_yrs_prior_pct_college
two_yrs_prior_pct_college,prev_year_adult_smoking,pop_2015,prev_yr_rent_50_1,Prev_Yr_FinS_Pct_GDP
Prev_Yr_FinS_Pct_GDP,prev_year_poor_or_fair_health,prev_yr_rent_50_2,business_pct,pop_5yr_pct_chg
"Remaining_Tax_Burden(per $1,000 of personal income)","Public_Employees_Per_10,000_of_Population_(full-time equivalent)",death_pct_diff,prev_year_access_to_exercise_opportunities,prev_year_high_school_completion
pop_5yr_pct_chg,"State_Liability_System_Survey_(tort litigation treatment, judicial impartiality, etc.)",GPT_OH_Tough_Labor_Market,Prev_Yr_FinS_Pct_GDP,PrevYr_RGDP
PrevYr_RGDP,office space for rent,side hustle_pct,Prev_Yr_EntS_Pct_GDP,"Remaining_Tax_Burden(per $1,000 of personal income)"
prev_year_mammography_screening,website hosting service,Tax_Expenditure_Limits,prev_year_alcohol_impaired_driving_deaths,Prev_Yr_EntS_Pct_GDP
prev_year_adult_obesity,side hustle,GPT_OH_Natural_Resources,GPT_OH_Connected_Economy,two_yrs_prior_pct_foreign_born
prev_year_high_school_completion,office_pct,Business plan templates,PrevYr_RGDP,prev_year_severe_housing_problems
Prev_Yr_Agri_Pct_GDP,website hosting service_pct,GPT_OH_Limited_Financing,prev_year_low_birthweight,prev_yr_rent_50_4
prev_year_long_commute_driving_alone,side hustle_pct,website hosting service,How to start a small business_pct,prev_year_children_in_single_parent_households
prev_year_adult_smoking,GPT_OH_Low_Cost_of_Living,GPT_OH_Supportive_Community,prev_year_driving_alone_to_work,Prev_Yr_Mine_Pct_GDP
prev_year_severe_housing_problems,GPT_OH_Tough_Labor_Market,GPT_OH_Low_Pop_Bad_Weather,prev_year_uninsured,prev_year_some_college
"Property_Tax_Burden_(per $1,000 of personal income)",National_PI,GPT_OH_Unfavorable_Location,Right-to-Work_State_Flag_(option to join or support a union),Prev_Yr_Gvmt_Pct_GDP
Prev_Yr_Gvmt_Pct_GDP,pop_2020,GPT_OH_Low_Cost_of_Living,Business plan templates,"Property_Tax_Burden_(per $1,000 of personal income)"
Prev_Yr_EntS_Pct_GDP,PrevYr_RGDP,prev_year_drinking_water_violations,website hosting service,Prev_Yr_Agri_Pct_GDP
pop_2010,Prev_Yr_Mine_Pct_GDP,website hosting service_pct,GPT_OH_Government_Support,prev_year_long_commute_driving_alone
two_yrs_prior_pct_foreign_born,Prev_Yr_Retl_Pct_GDP,coastline_flag,GPT_OH_Large_Customer_Base,prev_year_mammography_screening
prev_year_some_college,Prev_Yr_GoMn_Pct_GDP,GPT_OH_Connected_Economy,GPT_OH_Limited_Tech_n_Infra,prev_year_adult_obesity
prev_yr_rent_50_4,two_yrs_prior_pct_college,National_PI,Prev_Yr_Mine_Pct_GDP,prev_year_adult_smoking
